STRINGMAPID,VALUE,ATTRIBUTENAME,OBJECTTYPECODE,ORGANIZATIONID,VERSIONNUMBER,LANGID,ATTRIBUTEVALUE,DISPLAYORDER,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
8d9daf62-3fdf-eb11-bacb-002248087f53,Mauritania ,vms_country,contact,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1131112980,1033,178320132,133,FALSE,2022-09-21T11:01:26.039Z
2d89706f-2ddf-e811-a964-000d3a199c61,Service Endpoint,msdyn_EntityOTC,msdyn_callablecontext,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1850060738,1033,4618,300,FALSE,2022-09-21T11:01:18.969Z
5c755240-32b3-e811-a977-000d3a180d94,Custom Control Default Config,componenttype,dependencynode,e37e225e-06b3-4bbd-a655-5746a6ec18a0,610791,1033,68,68,FALSE,2022-09-21T11:01:17.032Z
d5a9e1ec-92bb-e811-a962-000d3a199c1e,Yes,msdyncrm_salesready,lead,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1119069,1033,1,1,FALSE,2022-09-21T11:01:18.955Z
40b9f1c3-9db9-e811-a965-000d3a1995db,Fee,msdyn_transactionclassification,msdyn_invoicelinetransaction,e37e225e-06b3-4bbd-a655-5746a6ec18a0,582271401,1033,192350004,8,FALSE,2022-09-21T11:01:18.93Z
6d5a7315-1d35-e911-a979-000d3a1995db,Recall Requested,msdyn_targetentrystatus,msdyn_timeentry,e37e225e-06b3-4bbd-a655-5746a6ec18a0,352854670,1033,192350004,6,FALSE,2022-09-21T11:01:18.942Z
709daf62-3fdf-eb11-bacb-002248087f53,Japan ,vms_country,contact,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1131112950,1033,178320103,104,FALSE,2022-09-21T11:01:26.039Z
06737969-2ddf-e811-a964-000d3a199c61,Integration Job Detail,msdyn_activityType,msdyn_playbookactivity,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886056263,1033,10059,1179,FALSE,2022-09-21T11:01:18.961Z
b9a3f69e-92bb-e811-a962-000d3a199c1e,Active,statecode,msdyncrm_uicconfig,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1111167,1033,0,1,FALSE,2022-09-21T11:01:18.95Z
bf6ccd72-8abb-e811-a95e-000d3a1d72b6,Inactive,statecode,msdyn_feedbacksubsurvey,e37e225e-06b3-4bbd-a655-5746a6ec18a0,973652,1033,1,2,FALSE,2022-09-21T11:01:21.362Z
99bc7bd3-aca4-eb11-b1ac-0022480424b1,file,msdyn_type,msdyn_bookableresourcebookingquicknote,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1020867790,1033,100000005,6,FALSE,2022-09-21T11:01:26.032Z
9b42e084-a408-ec11-b6e5-0022480a291e,Conversation Data (Deprecated),objecttypecode,sla,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886058907,1033,11190,462,FALSE,2022-09-21T11:01:26.059Z
9a094c28-d0fc-eb11-94ee-000d3a339a43,Inactive,statuscode,msdyn_dealmanageraccess,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1201489671,1033,2,2,FALSE,2022-09-21T11:01:23.459Z
a26ccd72-8abb-e811-a95e-000d3a1d72b6,Active,statuscode,msdyn_responseaction,e37e225e-06b3-4bbd-a655-5746a6ec18a0,973624,1033,1,1,FALSE,2022-09-21T11:01:21.362Z
da1488f4-a61d-ea11-a813-000d3a19b38e,Inactive,statecode,msdyncrm_marketingdataimport,e37e225e-06b3-4bbd-a655-5746a6ec18a0,109026203,1033,1,2,FALSE,2022-09-21T11:01:19.916Z
19755240-32b3-e811-a977-000d3a180d94,Entity,componenttype,dependencynode,e37e225e-06b3-4bbd-a655-5746a6ec18a0,610724,1033,1,1,FALSE,2022-09-21T11:01:17.032Z
0c9daf62-3fdf-eb11-bacb-002248087f53,American Samoa ,vms_country,contact,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1131112850,1033,178320003,4,FALSE,2022-09-21T11:01:26.038Z
3423638b-9bb9-e811-a965-000d3a1995db,Completed,msdyn_status,msdyn_requirementstatus,e37e225e-06b3-4bbd-a655-5746a6ec18a0,694326,1033,690970001,2,FALSE,2022-09-21T11:01:17.966Z
7e524a46-32b3-e811-a977-000d3a180d94,Goal,record2objecttypecode,connection,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892691363,1033,9600,7,FALSE,2022-09-21T11:01:17.046Z
bedcfe21-1635-e911-a973-000d3a1a9bf6,Account,msdyn_pooltype,msdyn_resourcerequirement,e37e225e-06b3-4bbd-a655-5746a6ec18a0,21193607,1033,192350000,1,FALSE,2022-09-21T11:01:21.347Z
8bc5fa7d-bdeb-eb11-bacb-000d3a5b5536,File,msdyn_activityType,msdyn_playbookactivity,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886056601,1033,11086,1570,FALSE,2022-09-21T11:01:23.475Z
3f66f6ee-96bb-e811-a964-000d3a1a9a3a,Registration Response,matchingentitytypecode,duplicaterule,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1779673617,1033,10274,128,FALSE,2022-09-21T11:01:19.935Z
2b055450-35e2-ea11-a813-000d3a1bda55,Smart Links Content Viewed,objecttypecode,sla,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886058297,1033,10501,1107,FALSE,2022-09-21T11:01:21.353Z
